,Date,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,ttd online darshan tickets: (Worldwide),Tirupati: (Worldwide),Tirumala: (Worldwide),VIP darshan: (Worldwide),How to reach Tirupati: (Worldwide),ttd sarva darshan tickets: (Worldwide),ttd free darshan online booking availability: (Worldwide),apsrtc tirumala darshan tickets: (Worldwide),apsrtc ttd 300 tickets: (Worldwide),ksrtc tirupati package: (Worldwide),srinivasam complex: (Worldwide),tirumala darshan tickets: (Worldwide),tirumala darshan: (Worldwide),tirupati balaji.ap.gov.in: (Worldwide),tirupati darshan 500 rupees ticket: (Worldwide),ttd free darshan online booking availability: (Worldwide)
108,19/04/2022,67858,34241,4,5,99,1291,0,57,30,0,0,29,0,0,0,0,0,5,13,8,0,0
109,20/04/2022,66745,31574,4.62,0,100,972,4,58,31,26,0,0,5,22,0,31,0,17,12,8,0,5
110,21/04/2022,61278,26421,4.9,0,97,1324,0,56,26,23,25,0,12,0,0,71,13,0,18,0,0,12
111,22/04/2022,63084,29720,3.84,0,93,972,8,56,25,39,0,41,6,0,0,17,0,8,11,8,23,6
112,23/04/2022,71069,28536,4.15,0,97,972,4,46,24,27,0,0,0,0,0,0,0,0,12,0,19,0
113,24/04/2022,75438,30780,5.14,0,99,972,4,50,25,21,0,0,9,0,0,23,0,14,11,7,30,9
114,25/04/2022,65763,30585,4.32,0,99,862,0,48,23,0,71,0,0,0,100,0,32,12,14,10,0,0
115,26/04/2022,67681,28563,3.12,0,99,972,5,51,27,13,0,12,6,0,0,0,30,14,16,0,0,6
116,27/04/2022,75078,34741,3.75,0,97,1291,13,57,30,42,0,0,6,0,0,0,12,12,12,5,0,6
117,28/04/2022,64380,29440,4.28,6,99,1291,0,54,27,19,0,30,14,58,0,0,0,0,11,6,0,14
118,29/04/2022,65725,33758,4.29,0,100,862,6,57,30,10,0,0,0,0,0,29,0,22,17,6,0,0
119,30/04/2022,75010,31738,4.54,0,100,862,4,54,32,14,0,0,0,0,0,25,44,8,17,22,0,0
120,2022-01-05,72904,34674,4.34,7,102,972,3,51,28,14,0,0,0,0,16,0,28,17,15,9,0,0
121,2022-02-05,65756,31204,4.75,0,100,862,10,54,28,13,40,0,0,0,0,16,32,11,13,6,0,0
122,2022-03-05,61654,30346,4.54,5,102,972,8,56,28,25,0,60,0,0,49,0,29,21,18,0,0,0
123,2022-04-05,69603,31116,3.59,4,102,972,16,60,36,37,0,16,0,0,0,0,0,6,15,5,0,0
124,2022-05-05,59528,30702,4.7,6,102,862,6,57,31,15,22,0,0,0,0,0,0,15,13,8,0,0
125,2022-06-05,63265,34774,4.6,5,99,1324,0,54,25,22,21,29,13,0,0,0,0,36,14,7,0,13
126,2022-07-05,76324,25920,4.3,0,97,972,7,53,27,7,0,20,6,0,0,0,20,16,16,10,23,6
127,2022-08-05,75876,30434,3.84,2,95,1324,4,49,25,13,0,0,0,0,36,0,0,6,12,0,0,0
128,2022-09-05,69154,29995,3.91,5,84,1324,0,50,23,14,40,0,9,12,0,0,0,0,8,5,0,9
129,2022-10-05,61090,31217,3.5,5,91,1291,0,51,24,9,0,0,0,48,0,24,0,0,10,9,0,0
130,2022-11-05,61863,38710,4.73,6,97,1324,4,60,29,33,0,0,13,0,0,17,0,12,12,0,0,13
131,2022-12-05,61087,32164,4.64,5,91,1291,17,49,27,11,0,19,0,23,0,0,0,0,15,0,20,0
132,13/05/2022,62001,29617,4.27,5,93,1291,4,54,25,20,0,0,5,0,0,0,21,0,13,4,0,5
133,14/05/2022,81107,26316,4.52,6,86,740,5,49,27,0,16,11,11,0,0,0,0,9,12,0,21,11
134,15/05/2022,81720,30135,3.72,5,84,1521,0,51,25,12,19,30,0,0,0,0,0,18,11,0,0,0
135,16/05/2022,72567,30271,3.39,5,79,2229,0,48,23,33,0,0,14,15,0,0,0,0,11,15,0,14
136,17/05/2022,75400,32303,4.03,5,82,962,5,50,27,31,0,0,0,0,0,87,0,13,12,0,47,0
137,18/05/2022,74389,43531,3.21,5,90,2229,14,55,25,38,0,0,0,0,0,20,0,7,14,0,0,0
138,19/05/2022,67625,34266,3.19,5,88,2229,0,55,27,12,0,0,22,0,48,24,16,12,16,0,0,22
139,20/05/2022,71119,34718,3.21,5,86,1878,3,55,28,35,24,0,13,0,25,0,0,7,3,0,0,13
140,21/05/2022,83739,32223,4.02,6,84,2229,0,53,25,9,20,0,5,0,0,0,13,0,9,5,0,5
141,22/05/2022,70848,38007,4.35,0,86,1275,4,53,29,17,0,0,0,0,0,0,16,9,15,0,0,0
142,23/05/2022,75324,34584,4.05,6,90,862,5,54,26,12,88,59,0,0,32,38,0,0,10,0,0,0
143,24/05/2022,75759,37256,3.91,0,88,1324,5,61,32,26,0,0,0,43,0,33,0,0,18,12,0,0
144,25/05/2022,75759,46187,4.2,6,90,862,26,77,52,0,0,0,25,34,0,0,0,39,34,30,0,25
145,26/05/2022,72758,29957,4.65,0,95,1291,10,64,32,0,0,15,13,0,0,0,0,12,26,0,0,13
