,Date,Piligrims,Tonsures,Hundi,Special Day,Temperature,Condition,Tweets
33,03/02/2022,"31,167","15,701",Rs.1.83 Cr,"Amavasya, Tirupati Sri KT Kalyanotsavam",+86°,Partly cloudy,[]
34,04/02/2022,"28,410","14,831",Rs.2.08 Cr,Ugadi,+90°,Clear sky,['\nToday went to ']
35,05/02/2022,"34,632","16,399",Rs.2.19 Cr,Krittika,+86°,Few clouds,['\nReplying to \n@Swamy39\nThank you for revealing the truth sir. These caste fanatics of TDP have been trying to now raise communal passions among people thus disturbing law and order sir. Thank you for speaking on behalf of ']
36,06/02/2022,"33,737","13,954",Rs.2.82 Cr,normal,+84°,Few clouds,[]
37,07/02/2022,"35,516","13,797",Rs.2.53 Cr,normal,+84°,Few clouds,[]
38,08/02/2022,"30,172","10,829",Rs.2.22 Cr,"Garuda Panchami, Tirumala Sri TT Garuda Sava, Vayalpadu Sri PRS Pattabhishekam Begins",+84°,Clear sky,['']
39,09/02/2022,"32,092",lgrims ,,normal,+84°,Clear sky,['\n???????: ????????? ??????? ??????. ??????????? ?????? ?????????? ????? ??????? ??????. ??? ?????????? ???????. ??????? ?????? ??????? ???????? ????????? ??????? ??????. ???? ?????? ??????? ??????? ??????? ??????.']
40,10/02/2022,"32,894","15,770",Rs.2.65 Cr,"Gandhi Jayanti, Tirumala Sri TTSwarna Ratham, Saraswathi Puja",+84°,Clear sky,[]
41,11/02/2022,"32,894","14,359",Rs.2.55 Cr,normal,+84°,Clear sky,[]
42,12/02/2022,"36,333","17,174",Rs.2.63 Cr,normal,+84°,Clear sky,[]
43,13/02/2022,"33,356","16,259",Rs.2.73 Cr,normal,+82°,Partly cloudy,[]
