,Date,Piligrims,Tonsures,Hundi,Special Day,Temperature,Condition,Tweets
172,22/06/2022,"75,472","38,335","Rs.3.87 Cr
Wait",Tiruchanoor Sri PAT Sundararaja Swamy Avatarotsavam Ends,+86°,Thunderstorm with rain,['']
173,23/06/2022,"68,873","38,952","Rs.4.44 Cr
Wait",normal,+84°,Thunderstorm with rain,[]
174,24/06/2022,"71,589","41,240","Rs.4.30 Cr
Wait",Ekadasi,+88°,Broken clouds,[]
175,25/06/2022,DEF,XYZ,ABC,normal,+90°,Broken clouds,[]
176,26/06/2022,"88,613","36,153","Rs.4.24 Cr
Wait",Krittika,+93°,Broken clouds,['\nTirumala: ???????? ????????? ?????\u200c\n????????? ?????\u200c ???????? ????????. ????? ???? ????? ????? ???????? ???? ???? ?????????? ????????????. ?????\u200c?? ????? ??????? ????? ???? ?????????.']
177,27/06/2022,"74,288","36,473","Rs.4.46 Cr
Wait","Rohini, Masa Shivratri",+93°,Broken clouds,"['\n??????: ???? ??????????\u200c ??? ???????? ?????? ???? ???????? ??????, ???? 10 ?????? ?????? ???????? ??????']"
178,28/06/2022,"77,154","30,182","Rs.4.62 Cr
Wait",Amavasya,+90°,Broken clouds,[]
179,29/06/2022,"70,134","30,059","Rs.4.26 Cr
Wait",normal,+88°,Heavy rain in places,"['\n??????: 12 ???????????????? ????????? ???????, ?????????????? 6 ???? ????, ????? ?????????? ????????????? 77,154 ???? ???????, ???????? ?????????? 30,182 ???? ???????, ????? ????? ??.4.62 ??????']"
180,30/06/2022,"65,898","33,686","Rs.3.66 Cr
Wait",Punarvasu,+91°,Light rain,[]
181,01/07/2022,"64,628","41,613","Rs.3.47 Cr
Wait",normal,+95°,Thunderstorm with rain,[]
182,02/07/2022,"88,026","50,652","Rs.4.34 Cr
Wait",normal,+95°,Thunderstorm with rain,[]
183,03/07/2022,"88,682","37,447","Rs.4.09 Cr
Wait",normal,+91°,Thunderstorm with rain,[]
184,04/07/2022,"77,907","38,267","Rs.6.18 Cr
Wait",Tirupati Sri Kodanda Rama Swamy Temple Brahmotsavam Ends,+86°,Overcast clouds,"['\n??????: ???????? ??.6 ????? ??????\u200c?? ????? ???????? ????? ?????, ???? ???????? ????? ????? ??.6.18 ??????']"
185,05/07/2022,"73,439","34,490","Rs.4.35 Cr
Wait","Punarvasu, Tirupati Sri KRT Pushpayagam",+88°,Drizzle,"['\n?????????? ???????????? ??????? ??????????? ???? ????????? ??? ??????? ?????????? ????? ????????? ????????????.', '\n??????? ?????? .. ??????? ?????? \n?????? ??????? ????????? \n\nShot on GoPro Hero 7 Black\n\nCredits: @ashwanth_allu', '\n????? ?????????? ????????????? 77,907 ???? ???????. ???????? ?????????? 38,267 ???? ???????.?????????????? 6 ????? ?????? ????? ?????????? ????? ????? ', '\n??????: ?????? ?????? ????? ??.120 ?????? ?????? ????? ???????? ????? ?????. ???? ?? ??.123.76 ?????? ?????????? ???????. ???????? 128 ??????…??????? ?? ??.127.5 ??????. ???? ??.130.5 ?????? ????????? ?????????? ???????. ?????? ????? ??.500 ?????? ????? ???????? ????? ?????']"
186,06/07/2022,"76,418","38,629","Rs.4.73 Cr
Wait",normal,+81°,Light intensity drizzle,"['', '', '\n??????: 31 ???????????????? ????????? ???????. ?????????????? 9 ???? ????.  ????? ?????????? ????????????? 73,439 ???? ???????. ???????? ?????????? 34,490 ???? ???????. ????? ????? 4.35 ??????.']"
187,07/07/2022,"75,407","35,535","Rs.4.56 Cr
Wait",normal,+82°,Overcast clouds,"['\n??????: ?????????????????? ?????. ??????? ???? ??????????? ???? ?????????????????? ????????? ?????? ????? ???? ????. ?????????????? 15 ??.? ????. ????? ?????????? ????????????? 76,418 ???? ???????. ???????? ?????????? 38,629 ???? ???????. ????? ????? ??.4.73 ??????']"
188,08/07/2022,"73,016","37,068","Rs.4.09 Cr
Wait",Tirumala Sri TT Pavitrotsavam begins,+84°,Overcast clouds,['\nIrina Kubinschi and \n@Lilia_Olefir\n presented on behalf of Smoke Free Partnership the key policy recommendations on the revision of the ']
189,09/07/2022,"87,478","48,692","Rs.4.53 Cr
Wait",Vamana Jayanthi,+84°,Overcast clouds,['\n??????? ??????? \n@V_Senthilbalaji\n ? ???? ']
190,10/07/2022,"89,013","37,698","Rs.4.39 Cr
Wait",normal,+84°,Overcast clouds,[]
191,11/07/2022,"62,141","33,880","Rs.5.58 Cr
Wait","Narayanavanam Sri KVS Float Ends, Karteeka Jwala Thoranam",+86°,Overcast clouds,[]
192,12/07/2022,"74,212",lgrims ,"Rs.5.05 Cr
Wait","Tirumala Sri Tr Karteeka Deepotsavam, Krittika, Sri Datta Jayanthi",+86°,Broken clouds,[]
193,13/07/2022,"71,289","33,210","Rs.3.71 Cr
Wait","Guru Purnima, Vyasa Purnima",+88°,Broken clouds,['\n??????: ???????? ??????????? ??????. ???? ????????? ???????? ????? ??????. ????? ?????????? ?????? ???? ????? ??????????? ????? ??????????? ???????????? ??????. ???????? ????? ??????????? ????? ????????. ??? ???????????? ????? ????????? ?????? ??????????? ??????. ']
194,14/07/2022,"74,304","31,880","Rs.5.45 Cr
Wait",normal,+90°,Partly cloudy,[]
195,15/07/2022,"72,195","35,967","Rs.4.24 Cr
Wait",Sravanam. Appalayagunta Sri PVS Pushpayagam,+91°,Light rain,['\ntirumala.balaji \n\n---']
196,16/07/2022,"84,885","41,211","Rs.4.35 Cr
Wait",normal,+90°,Moderate rain,[]
197,17/07/2022,"73,387","33,965","Rs.4.68 Cr
Wait"," Anivara Asthanam, Dakshinayanam Begins, Tirumala Sri T.T. Pushpa Pallaki",+90°,Broken clouds,"['\n????????????? ????\u200c????, ?????? ?\u200c??? ????\u200c?\u200c?\u200c?\u200c???\u200c ?????????? ?\u200c???\u200c?? ', '\n ']"
198,18/07/2022,"77,273","35,893","Rs.4.50 Cr
Wait",normal,+88°,Moderate rain,[]
199,19/07/2022,"74,503","30,884","Rs.4.42 Cr
Wait",normal,+88°,Broken clouds,"['\nTirumala Special Entry Darshan Tickets under Virtual Seva Category for the month of September will be released for booking on 21st July @ 11 AM.\n\n ', '\n???????? ???????????? ?????? ?????, ???????? ?????????????? 8 ???? ????, ????? ?????????? ????????????? 77,273 ???? ???????, ???????? ?????????? 35,893 ???? ???????, ????? ????? ??.4.5 ??????']"
200,20/07/2022,"76,821","34,732","Rs.4.78 Cr
Wait",normal,+90°,Moderate rain,"['\nIn frame : watercolour painting of Sri Tiruchanoor Padmavathi Ammavaru, Tiruchanoor, Tirupati, Andhra Pradesh \n\nCredits: \n@poojagnanendra']"
201,21/07/2022,"71,437","31,315","Rs.4.43 Cr
Wait",normal,+90°,Clear sky,"['\n???????? ?????? ?????????... ? ????, ? ????????!\n@ysjagan\n @yvsubbareddymp\n @TTDevasthanams\n ', '\n??????: ???? ?????????? ???????? ?????????? ???????? ???? ??????????? ?????? ?????????? ??????']"
202,22/07/2022,"71,395","32,533","Rs.4.83 Cr
Wait",normal,+88°,Broken clouds,"['\nAutomated\nI publicly protest this.\n  Tirumala Devasthanam and Andhra Pradesh Government\n should take immediate notice.  This kind of behavior will not be tolerated.\n@ysjagan\n  @ncbn\n  @TTD\n @svbcttd\n \n@AndhraPradeshCM', '\n???????? 31 ???????????????? ????????? ???????, ???????? ?????????????? 12 ???? ????, ????? ?????????? ????????????? 71,437 ???? ???????, ???????? ?????????? 31,315 ???? ???????, ????? ????? ??.4.43 ??????']"
203,23/07/2022,"78,479","37,521","Rs.3.76 Cr
Wait","Ads Krittika, Tirupati Sri KRT Pavitrotsavam Begins",+90°,Few clouds,[]
204,24/07/2022,"80,815","31,562","Rs.4.82 Cr
Wait","Ekadasi, Rohini",+88°,Heavy rain in places,"['\nAutomated', '\nWhat happens if ']"
205,25/07/2022,"72,873","32,641","Rs.5.12 Cr
Wait",normal,+82°,Moderate rain,[]
206,26/07/2022,"68,982","29,092","Rs.4.60 Cr
Wait","Masa Shivratri, Tirupati Sri KRT Pavitrotsavam Ends",+86°,Thunderstorm with rain,['\nAutomated\nIf the security guard of Tirumala Devasthan \n@TTDevasthanams\n is clearly saying that the statue of ']
207,27/07/2022,"73,375","31,117","Rs.4.71 Cr
Wait",Punarvasu,+86°,Clear sky,"['\nPresent Climate in Tirumala \n\nCredits: @hussain__ride', '\nAutomated\nIf ', '\n??????: ????? ?????????? ????????????? 18 ???????????????? ????????? ???????…?????????????? 8 ???? ????..????? ?????????? ????????????? 68,982 ???? ???????…???????? ?????????? 29,092 ???? ???????…????? ????? ??.4.6 ??????']"
208,28/07/2022,"67,364","25,058","Rs.4.21 Cr
Wait",Amavasya,+88°,Light rain,"['\n?????? ?? ????????? ???????? ??????? ?????? ??????! ', '', '\nChief Minister ', '\n?????? ???? ???????\n\n?????????????? ????? 9 ????? ???? ????????, VIP ???????? ?????', '\nAnticipating heavy rush during the ensuing ', '\n??????: ?????? ????????? ??? ???.. ?????? ????????? ?????? ????????? ?????? ?????????...??????? ?????????? ?????? ??????????? ???????...????????? ????????? ???????? ??????... 140 ???? ????????? ?????????? ??????... ??????? ????????? ???????????? ??????? ???????']"
209,29/07/2022,"58,747","28,496","Rs.3.79 Cr
Wait",normal,+90°,Partly cloudy,[]
210,30/07/2022,"77,541","39,533","Rs.3.87 Cr
Wait",normal,+91°,Few clouds,[]
211,31/07/2022,"81,287","34,436","Rs.3.83 Cr
Wait",normal,+91°,Broken clouds,"['\nThis morning Akhila Bharata Gau Seva Foundation started Padayatra to Tirumala Tirupati from TTD Himatnagar. Participated in that for some time.\n\nSave Gau Matha! Save Indian Culture!\n8\n19\nGoTirupati\n@GoTirupati\n·', ""\nThe Rs.300 SED tickets for August 07 to 10 will be released on the TTD website on August 2 at 9am.\n\nFurther, the senior citizens and physically handicapped pilgrims quota is blocked on August 9 and 10 in connection with the annual Pavithrotsavams in Tirumala.\n2\n41\n170\nsecondz\n@secondz_app\nHR & Training Teams, tired of spending time explaining company tools to new hires\nStruggling to answer questions\n\nImprove with secondz - a FREE Chrome extension\n\nQuickly create and share interactive guides, and you can answer.\n Track your viewers' progress with ease.\nsecondz.io\nGET FREE Chrome extesion, secondz.\n4\n14\n39\n174.4K\nPromoted""]"
212,01/08/2022,"71,450","31,320","Rs.5 Cr
Waiting",normal,+91°,Broken clouds,"['\nWhat’s known doesn’t need to be said ', '\n??????? ???????? ?????? ????????? ????? ???????? ??????? ???????...\n????????? ???????? ?????? ', '\nAutomated\nExecutive Officer of Tirupati Devasthan \n@TTDevasthanams\n Shri.  A.V.Dharma Reddy said statues and pictures of ', '']"
213,02/08/2022,"72,067","27,581","Rs.4.30 Cr
Wait",Ratha Sapthami,+84°,Moderate rain,"['\nPournami Garuda seva\n\n??????? ??????? ???? ???\n\n  ????????? ???????????? ???????????????  ???????? ???????????????????? ?? ??????????? ????????? ??????? ??????? ????????? ???????? ????????????. ???\u200c?\u200c????  ?????? ???? ??????? ????????. ', '\n??????????? ?????????? ????? ??????? ??????? ???????? ????????!']"
214,03/08/2022,"69,628","32,604","Rs.4.11 Cr
Wait",normal,+84°,Light rain,[]
215,04/08/2022,"62,351","31,473","Rs.4.99 Cr
Wait",normal,+82°,Moderate rain,"['\n??????????????? ???????? ??????? ?????? ????? ?????? ???????? !\n\n?????? ???? ?????? ,?????????  ????????? ???? ?????????\n\n?????? ???????  ???????? ??????????????\n\n??????? ???????? ???????? ????????? : ??????  ???????  \n@yvsubbareddymp', '\n????????? ?????? ????????? ?????? ', '\n????????? ?????? ????????? ??????!\n@ysjagan\n @yvsubbareddymp\n @TTDevasthanams\n ', '\n??????: 10 ????????\u200c???????? ????????? ???????, ???????? ?????????????? 8 ???? ????, ????? ?????????? ????????????? 69,628  ???? ???????, ???????? ?????????? 32,604 ???? ???????, ????? ????? ??.4.11 ??????']"
216,05/08/2022,"65,939","32,894","Rs.3.77 Cr
Wait",normal,+82°,Moderate rain,"['\n????????? ?????? ????????? ??????!', '\n??????: 28 ???????????????? ????????? ???????, ???????? ?????????????? 13 ???? ????, ????? ?????????? ????????????? 62,351 ???? ???????, ???????? ?????????? 31,473 ???? ???????, ????? ????? 4.99 ??????']"
217,06/08/2022,"79,525","39,545","Rs.4.04 Cr
Wait",normal,+82°,Broken clouds,['\n???????..  ?????????? ???????\n???:    ???????? ??????? ????????\n????:    ???????\n????:     ???????? ???????? ???????   \n?????????: ???????? ???????? ???????']
218,07/08/2022,"74,830","39,405","Rs.4.79 Cr
Wait",normal,+84°,Light intensity drizzle,"['\n??? ?????????? ???????? ??? ??????\u200c, ??? ?????? ?????????? ??????????\u200c ???????? ????? ???????????????? ???? ???? ???? ????????!!\n\n`` ???? ???????? ???? ???????``\n\nCredits: \n@girizoom', '\n???????? ???????? ?????. ??????????? ??????? ????.\n????? ?????? ??????? ???????? ???? ???? ?????? ????.\n????? ? ???? ?????? ??? ???? ??????? ??????????.']"
219,08/08/2022,DEF,XYZ,ABC,Ekadasi,+86°,Moderate rain,[]
220,09/08/2022,"77,277","31,272","Rs.4.36 Cr
Wait","Sravanam, Tirupati Sri GT Pavitrotsavam Ends",+86°,Broken clouds,"['\n???????? ?????? ?????????????? ???????? ??????.', '\n???????? ?????? ?????????????? ???????? ??????.', '\n???????? ?????? ?????????????? ?????????????? ????????.']"
221,10/08/2022,"74,497","36,244","Rs.5.15 Cr
Wait",normal,+90°,Broken clouds,"['\n????\u200c???? ??\u200c???? ???????????? ??????? ??????????????.', '\n???????? ?????? ??????? ????? ?????????.', '\n?????? ???????? ?????? ??????? ????????????? ????????? ???\u200c?\u200c???? ??????? ?????? ?????? ????????. ? ???????????? ?????? ??? ???? ???.?\u200c?????????? ???\u200c???? ????????????.\n.\n.\n.\n.']"
222,11/08/2022,"63,754","30,790","Rs.3.63 Cr
Wait","Sri KT Annabhishekam, Rudrapadalu Mukkoti, Purnima, Chandra Grahanam",+91°,Few clouds,['\nArrangements for Bhoomi Puja of Srivari temple at Mumbai under way. Temple is coming up in a sprawling 10 acres area at ulwe. ']
223,12/08/2022,"64,079","32,852","Rs.3.52 Cr
Wait"," Purnima, Tirupati Sri KT Mukkoti, Rohini",+91°,Partly cloudy,"['\n???????? ????\u200c???? ??\u200c???? ?????\u200c?\u200c ??????? ???????.', '\n????? ??????? ?????.. ???????? ???????????\n\n???????? ???????? ?????, ????????? ??????????? ????????? ???????????? ?\u200c???????? ?\u200c?????\u200c?? ???????????? ??????? \n@TTDevasthanams\n. ???????? ??? ????\u200c?\u200c?? ?????\u200c?? ??? ?????????? ?????? ????????????.\n@ysjagan\n @yvsubbareddymp\n ']"
224,13/08/2022,"83,422","50,100","Rs.4.27 Cr
Pilg",normal,+91°,Broken clouds,"['', '\n?????? ????????? ???? ??????? \n??????????? ?????? ??????? ??? ????????????.?????? ??????? ??.?? ???????????? , ??? ??????????? ?????????? ???? ????????? ???????????????, ??? ???? ???? ????? ?????? ?????? ?????? ????? ??????\n- ??. ???????????????? ', '\n??????????? ?????? ??????? ?? ????? ????????? ?????? ?????? ?????????????????.', '\n???? ????? ?? ????????..TTD ???? ????????? ????????? ??????. ?????? ??????? ?????? ???????? ?????? ????????????? ??????. ? ??? ????? ?????? ???? ? ?????? ???????? ??????. ???????? ?????????????? ?? ?????? ???? ?????????? ???? ???????..!', '\n????? ????? ?????? ????????????? ??????????. ???? ????????? ?????? ?????? ????? ???????????. ??????? ?????? ??????????. ???????? ?????? ????????? ??????????? ??????  ??????????? ????????????? ?????? ??.100 ????? ????? ????? ???????.']"
225,14/08/2022,"92,328","52,969","Rs.4.36 Cr
Wait",normal,+91°,Broken clouds,"['\n????????????? : ??? ???? ???? ???????? ???? ???????????.. ????? ????????? ???? ?????????? ', '']"
226,15/08/2022,"87,692","36,832","Rs.5.30 Cr
Wait",Independence Day,+90°,Light rain,[]
227,16/08/2022,"72,851","34,404","Rs.4.73 Cr
Wait",normal,+91°,Light intensity shower rain,"['', '', '\n?????????? ???? ?????????? ????????????? ????? ??????\n\n– ????? ????????? ????????\n\n.\n.\n.', '\n????? ????? ???? ???? ??? ????..  ']"
228,17/08/2022,"83,880","38,710","Rs.5.86 Cr
Wait",normal,+95°,Broken clouds,"['\n?????? ????????? ???? ???????..??????????? ?????? ??????? ??? ????????????, ?????? ??????? ??.?? ????????????,??? ??????????? ??????????\n\n??????????? ?????? ??????? ???????? ??? ????????????.\n\n- ??.????????????????, ???? ?????? ???????, ???? ??????? ???? ']"
229,18/08/2022,"70,674","35,930","Rs.4.53 Cr
Wait",normal,+91°,Broken clouds,"['\n??????:??????? ???????? ??? ???????? ??????. ? ??? 21? ????? ??? ??????? ???????????? ?????????..?????????? ????,???????? ??????? ???????.. ????? ???????? ???????? ??? ?????????? ?????. ??? ???????????? ?????????? 10 ?????? ????? ?????? ?????????????? ?????????? ?????????.', '\n???????? ????????? ?????????? ???? \n?????? ??????? ??????????', '\nYSRCP is Spoiling Tirumala. ', '\n???????? ????????? ???????... ?????? ??????? ??????????? ?????... ', '\n??????: ???? ???\u200c????\u200c?? ????????\u200c ????? ?????????? ??.300 ???????? ?????? ????? ????????? ?????? ???????? ??????.. ????????????? ?????? ????? ????? ???????? ??????  25 ??? ??????? ???????? ?????? ???????? ??????']"
230,19/08/2022,"64,438","34,361","Rs.4.53 Cr
Wait","Gokulastami, Krittika, Sri Krishnashtami",+91°,Broken clouds,[]
231,20/08/2022,"79,836","35,916","Rs.4.56 Cr
Wait",Rohini,+91°,Broken clouds,['\n?????????????? ?????????????? ?????? ????? ????????? ???????? ?????????????? ????? ????????????? ????????? ???????????? ???????? ????????????. \n.\n@nellorerockss\n @VPR_Official_\n ']
232,21/08/2022,"81,523","37,100","Rs.4.65 Cr
Wait",normal,+90°,Thunderstorm with heavy rain,[]
233,22/08/2022,"72,804","39,142","Rs.4.82 Cr
Wait",normal,+93°,Light rain,"['\nGood luck to our Varsity, JV and Freshman teams!! Cheers to your first day of practice of the 2022 season!! \n-Shen Booster Club ', '\n?????????? ???????? ????????? ??????????..???????? ??????? ?????? ?????? ????? ????????? ????????? ??????????\n\n-???? ?????? ?????? ????? ?????', '\n??????: ?????????? ????????????? ???? ?????? ?????? ????? ?????..?????????? ???????? ????????? ??????????..???????? ??????? ?????? ?????? ????? ????????? ????????? ??????????-????? ?????', '\n??????:7 ???????????????? ????????? ???????….?????????????? 8 ???? ????..????? ?????????? ????????????? 81,523  ???? ???????….???????? ?????????? 37,100 ???? ???????….????? ????? ??. 4.65 ??????']"
234,23/08/2022,"68,467","35,506","Rs.4.67 Cr
Wait",Ekadasi,+95°,Partly cloudy,[]
235,24/08/2022,"74,748","39,086","Rs.4.45 Cr
Wait",Punarvasu,+86°,Heavy rain in places,[]
236,25/08/2022,"68,128","34,021","Rs.4.44 Cr
Wait",Masa Shivratri,+88°,Thunderstorm with rain,[]
237,26/08/2022,"69,012","29,195","Rs.4.59 Cr
Wait",normal,+90°,Thunderstorm with rain,[]
238,27/08/2022,"80,312","29,538","Rs.5.14 Cr
Wait",Amavasya,+88°,Broken clouds,"['\nTTD \u2060\nTeka Teki Doran\u2060\n\u2060\nHayo Sobat Doran bisa jawab teka-teki dari Mindo nggak? \u2060\nYuk, buat yang bisa langsung aja tulis jawaban kamu di bawah! \u2060\n\u2060']"
239,28/08/2022,"74,297","27,317","Rs.3.96 Cr
Wait",normal,+88°,Thunderstorm with rain,"['\nSome best tirumala tirupati vintage collections \n\nCredits: p.v.n.r_24', '\n??????? ??????? ????? -??????????,  ??????']"
240,29/08/2022,"67,950","31,407","Rs.4.74 Cr
Wait",Balarama Jayanthi,+84°,Thunderstorm with rain,[]
241,30/08/2022,"64,336","25,487","Rs.4.35 Cr
Wait",Sri Varaha Jayanthi,+86°,Light rain,[]
242,31/08/2022,"66,086","27,305","Rs.3.72 Cr
Wait",Vinayaka Chavithi,+84°,Light rain,"[""\nSomething doesn't sound right here - Can't imagine TTD being able to openly discuss and execute this in the kind of hostile environment. They can't even have a board of their choice or keep Tirumala free.\n\nMust be tracked - might be a camouflage to achieve the exact opposite.\nTimes Algebra\n@TimesAlgebraIND\n·"", '\nHUGE :- Tirumala Tirupati Devasthanams (TTD) will fund construction of 1342 Hindu temples all over Andhra Pradesh to stop conversions and promote Sanatan Dharma.\n\nTemples will come up predominantly in areas more prone to conversions Follow our handle for more news.\nShow this thread\n15\n92\n427\nTimes Algebra\n@TimesAlgebraIND\n·', '\nHUGE :- Tirumala Tirupati Devasthanams (TTD) will fund construction of 1342 Hindu temples all over Andhra Pradesh to stop conversions and promote Sanatan Dharma.\n\nTemples will come up predominantly in areas more prone to conversions Follow our handle for more news.\n103\n2,219\n8,966\nShow this thread\nGRT JEWELLERS\n@GRTJewellers\nBring Home Prosperity this Ugadi with GRT. \n\nShop Now to Avail some Exciting Offers this Festive Season.', '\nAndhra Pradesh News\n\nTirumala Tirupati Devasthanams (TTD) has decided to promote construction of 1342 Hindu temples to promote religion & prevent conversions.\n69\n1,720\n9,223\nShow this thread']"
243,01/09/2022,"63,332","26,656","Rs.2.86 Cr
Wait",normal,+81?,Light rain,"[""\nWhat a Normal Devotee sees Vs what a Historian sees @ Alipiri Rajagopuram\n\n????? ??????????? ????????? ? ??????? ?????????? ????? ?????? ?????????, ???? ?????? ? ???? ???????? ??????? ??????????? '?????-??????' ????? 20 ????? ????????????"", '\n??????: 2 ???????????????? ????????? ???????, ???????? ?????????????? 5 ???? ????, ????? ?????????? ????????????? 66,086 ???? ???????, ???????? ?????????? 27,305 ???? ???????, ????? ????? ??.3.72 ??????']"
244,02/09/2022,"67,525","31,484","Rs.4.24 Cr
Wait",Krittika,+84?,Few clouds,[]
245,03/09/2022,"79,833","36,074","Rs.4.73 Cr
Wait",Krittika,+88?,Broken clouds,[]
246,04/09/2022,"71,158","27,968","Rs.3.73 Cr
Wait",Punarvasu,+86?,Moderate rain,"['\n?????? ???? ??????\n?????? ???? ??\n\n???????, ???????']"
247,05/09/2022,"67,843","31,817","Rs.3.88 Cr
Wait",normal,+91?,Few clouds,"['\nA devotee was made to wait for 14 years for Vastralankar Puja \n\nThis is expected to happen after the Government takes over the temples.\n\nConsumer Court orders Tirumala Tirupati Devasthanam to pay Rs 50 lakh compensation to the devotee\n\nhttps://sanatanprabhat.org/english/62908.html… ', '\n????? ??? ???????? ?????? ? ?????? ????.. ', '\nSee how the drama queen \n@archanagautamm\n attacked the TTD employees ', '\n???? ??? ?????? ?????\u200c ??????? ???????? ??????...', '\nTTD appeals to the devotees not to believe in baseless and ruthless allegations on social media against \n@TTDevasthanams\n ', '\n?????? ?????\u200c ?? ??.300 ??????\u200c ?????? ?????.. ????? ???????????? ?????????????????.. ???????\u200c ??? ??????????? ???? ??????.. ????? ??.300 ??????\u200c ??????.. ??????\u200c ?????? ??????? ???? ???????.. ????? ?????????? ??.10.500 ???????????? ???????-??????', '\n??????: ???? ??? ?????? ?????\u200c ??????? ???????? ??????.. ?????? ???? ?????? ????? ???????? ???????-??????', '\n?????? ??????? ?????? !                                         \n\n?????? ????????\u200c?? ?\u200c?? ????\u200c?? ???\u200c?? ????.. ????? ???????? ??????? ??????? \n\n??????\u200c? ????\u200c?\u200c?\u200c?? ????????\u200c???? ?\u200c?????? ????????\n\n- ?????? ???\u200c?\u200c & ????????? ', '\n?????? ??????? ??????                                                  \n\n?????? ????????\u200c?? ?\u200c?? ????\u200c?? ???\u200c?? ???? ???\u200c??? ?\u200c???\n\n??????\u200c? ????\u200c?\u200c?\u200c?? ????????\u200c???? ?\u200c?????? ????????\n\n- ?????? ???\u200c?\u200c ', '\nReplying to \n@archanagautamm\n and \n@INCIndia\n??? ?????? ????? ????? ?? ??????? ???????? ????? ?? ?????? ?????? ???? ???????? ????? ????? ????? ???????.., ?????? ?????? ??????? ???????? ?????? ?????????. ?????? ??? ?????? ????????????.  ?????? ???????????? ??? ???????? ????? ?????? ???????.', '\n???????:???????? ???????????? ?????????? ??????????? ????? ???????? ??????? ??????? ??????... ?????, ?????? ??????, ????? ??????? ???????. ?????? ???????? ???????? ????? ???? ???????? ????...????????? ???? ?????? ?????? ?????? ??????? ???????????-??????? ??????']"
248,06/09/2022,"69,115","31,762","Rs.4.93 Cr
Wait",Tirupati Sri Govindaraja Swamy Temple Garuda Seva,+86?,Thunderstorm with rain,[]
249,07/09/2022,"65,470","29,899","Rs.3.84 Cr
Wait",Tirupati Sri G.T. Jyestabhishekam Begins. Tirupati Sri K.T. Pavitrotsavam Begins,+81?,Thunderstorm with rain,"['\nProud of every  $APE WORLDWIDE ! We are Not going anywhere.I will ', '', '\n??????:?????????? ????????????? ?????? ??? ?????????? ???? ????????.. ????? ????? ??? ????????? ??????... 900 ??.?? ??? ???????…15 ??? ??.?? ???? ??????? ????????? ??????...???????? ???????? ???????? ?????? ????????? ??????? ???? ????-???? ????????']"
250,08/09/2022,DEF,XYZ,ABC,Karvetinagaram Sri VGS Float Begins,+81?,Light intensity drizzle,"['', '\n?????? ??????? ???? ??.??.???????????? ??????  ???? ?????? ???????? ?????? ??????? ??????????? ???? ????????????? ?????????  ??????? ???????   432 ????? ?????? ?????? ?????????? ?? ??????????  ????????. ', '\nMet Padmashri Brahmanandam garu today at their house. Grateful for the heartwarming gift, a hand made Lord Venkateswara portrait, made by the comedy legend himself.']"
251,09/09/2022,"64,292","30,641","Rs.3.72 Cr
Wait",Ananta Padmanabha Vratham,+82?,Light rain,"['\n12PM ki Q lo ki vasthe 4PM ki compartment lo vesaru till now food ye ledhu  \nChinna chinna pillalu vunnaru ra \nDown down TTD ani gola gola chesthunnaru \nWorst maintenance  \nNever seen this type of situations here ', '\nThe Merge Transition\n\nHere is our quick video on ']"
252,10/09/2022,"80,741","41,494","Rs.4.22 Cr
Wait",Purmima,+84?,Heavy rain in places,"['\n?????????? 27 ????? ???????? 6 ???? ???????? ?????????? ???????? ??????????????? ?????? ??????? ??????????????? \n@TTDevasthanams\n ?????????? ??????? ???????. ???????? ? ??????? ???????? ??????? ????????? ???????? ????? ?????? ???????????????.\n@ysjagan\n @yvsubbareddymp\n ', '\n????? ??????? ????? ????????? ?????? ??????????????? ?????? ??????? ??? ?????? ???????????. ? ????? ????\u200c????\u200c?? ???????? ??????????????? ????????????.', '\n??????:??????? ?????? ?????.. ??????? ???? ??????????? ???? ?????????????????? ?????, ???????? ????? ????? ???? ?????? ????..?????????????? 24 ???? ????...????? ?????????? ????????????? 64,292 ???? ???????..???????? ?????????? 30,641 ???? ???????…????? ????? ??.3.72 ??????']"
253,11/09/2022,"86,793","30,254","Rs.4.47 Cr
Wait",Krittika,+86?,Broken clouds,"['\n??????: ???????????? ?????? ?????....????? ????? ???? ???? ???? ?????? ????????? ???????…?????????????? 24 ???? ????...????? ?????????? ????????????? 80,741 ???? ???????…???????? ?????????? 41,494 ???? ???????….????? ????? ??.4.22 ??????']"
254,12/09/2022,"74,231","33,591","Rs.5.14 Cr
Wait",normal,+88?,Light rain,[]
255,13/09/2022,"75,175","31,979","Rs.4.05 Cr
Wait",Vundralla Tadde,+90?,Broken clouds,"['\n??????: 29 ???????????????? ????????? ???????… ???????? ?????????????? 14 ???? ????, ????? ?????????? ????????????? 74,231 ???? ???????… ???????? ?????????? 33,591 ???? ???????… ????? ????? ??. 5.14 ??????']"
256,14/09/2022,"65,634","31,419","Rs.4 Cr
Waiting",Maha Bharani,+88?,Light rain,"['\n|| Om namo venkatesaya ||', '\n??????: 29 ???????????????? ????????? ???????… ???????? ?????????????? 12 ???? ????, ????? ?????????? ????????????? 75,175 ???? ???????, ???????? ?????????? 31,979 ???? ???????, ????? ????? ??.4.05 ??????']"
257,15/09/2022,DEF,XYZ,ABC,normal,+88?,Broken clouds,[]
